Category,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland
2001-2005,435.94361624517717,119.47041599068355,564.0763833395813,622.3376092074351,78.22314289,719.9787311151849,34.71801152967458,27.092187005772278,20.82660558450264,73.43312371315497
2002-2006,398.5375513765874,107.09447424925948,508.85944846699033,602.0423536248096,66.02948522994225,663.5286461013617,33.53477019165108,26.61059934783932,20.200057009612806,64.64501931515417
2003-2007,370.70746188896294,96.25772015238597,452.47013294973533,564.4005765197915,55.24353861509094,614.7786431074096,32.910855733897854,25.207314938286682,18.064347096841136,56.84692589
2004-2008,338.9847231553369,89.60252217759779,394.3866767953529,544.4506623243523,48.65249951859211,597.2599041493596,31.473011617326748,22.962445409375317,16.603787007116054,50.252938499594116
2005-2009,301.8704332,75.87499409182912,361.6557366767879,534.5908618250121,41.661809873845186,592.7686994469525,29.676064568951986,21.57106258165475,13.302499218611036,47.04454268499124
2006-2010,279.06468342320187,64.51773730976339,312.53094799067105,519.4239072171856,34.261869948515894,578.1325873311034,27.29554840503129,21.161233447029403,12.166148813861476,42.83876006717219
2007-2011,253.22737864444034,52.90022346966161,286.50264306811147,474.14030085305217,30.861594582291737,573.2421339,25.31504577906939,19.65145245698077,10.434102884520303,39.02942670800422
2008-2012,220.96644638278306,48.48441319794924,268.73528999925315,441.63737468246563,29.24624815,575.6209213138636,22.734429734269582,20.31155264956486,9.708514379899162,41.62011135327649
2009-2013,190.46176363025745,38.489227930268605,250.71095392133054,399.3297282995013,25.44636295485874,545.7087046809859,20.161859157062697,20.96172441598562,8.724483027969958,39.814504096562345
2010-2014,177.61273949047225,36.83593058906755,235.34103723933754,356.7514247804304,23.640043972312842,520.9711554878022,19.780452619348438,21.763587538341156,9.032559328626649,38.81096202212474
2011-2015,161.0932008748233,39.05238858757672,237.22149536589794,328.44411250960394,22.839970339525266,512.1534999057149,19.16343690170198,22.566906720020178,8.989888870269633,38.01175600414723
2012-2016,160.35725915375116,43.19401587977703,246.77672761498366,331.8680752,22.841398323488786,557.9151343138333,20.358908225344596,23.362631006274963,11.101658459434496,36.60891316263242
2013-2017,172.66459274743931,45.07003055174094,258.04912164533897,326.09341610792035,22.649490071993657,580.2688595492486,22.137094348461503,23.27291920410683,12.568517697420267,32.21251805358971
2014-2018,197.7165429611824,50.019955799079554,281.8731059305996,334.0753320061176,26.246303952291726,621.0209085825277,22.745825156380498,24.382028287454798,12.506424934953463,35.61382033446546
2015-2019,221.16774996435925,56.216586890156776,309.36646200526286,339.5739709156295,25.257281002069437,647.7582699578559,24.14085764,23.892087374062356,13.290878561429427,37.412261936873364
2016-2020,233.7431519663871,56.36860898,326.89644415242145,352.7254218740086,26.453973747104552,692.3042557955529,28.94578565632045,22.101880048595184,14.274907921329692,39.214919933844286
2017-2021,242.72620751945442,64.41458234014968,337.0102002736574,347.75497754079424,27.067792344512092,681.7064655276148,31.736122630224397,25.203736294752854,16.04600524555354,40.816533444361085
2018-2022,253.42930540421077,80.42390771845362,351.6356075400347,349.7428393,27.866071582764036,668.7088354211727,36.09178127314833,27.35819739956545,18.441062827548485,44.81672113478739
2019-2023,259.40081367988563,89.94652157,377.0949077422559,369.7183815,29.05625019097711,664.1596979302551,42.06741813878183,29.333346540938788,22.577048089179804,47.01865677202989
2020-2024,267.75154084898713,94.74216665,412.4249384699469,383.0654910132296,32.25102538838297,676.3409750661915,47.23706588282131,31.88527885031548,25.324126577527604,52.61848434733061
2021-2025,274.69437264814053,101.98032240061744,432.3568718624745,372.6785570479942,33.84482710336366,628.8252355542029,47.22743527832712,35.54183063806887,27.10880668356215,51.41922275744581
