Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing,Hegewisch,Hermosa,Humboldt Park,Hyde Park,Irving Park,Jefferson Park,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2001-2005,231.49220162175385,51.14535704228413,349.79544206724444,107.40193235983568,1121.641095781171,6920.348819551663,89.73765342888622,196.2664107013952,429.0106123705237,50.95426783914566,130.13748927868903,304.0408766132726,70.81106419969385,156.61136234586647,579.5724154996157,1108.5699472720105,50.16805031163274,1491.6078821542717,86.76318506688044,2134.764251406458,160.5001135762627,281.24107676755824,5.397685764,1572.527496328168,16.071180268614338,375.9026482,347.0249936786299,216.66175008282664,1218.1299016704786,943.8060644560288,60.11590960202472,204.27400095865025,3501.0754688867205,73.04502031000344,319.7142749824664,49.95034114398436,130.27337046185673,318.2567606781935,142.2532399913289,105.03574417434145,579.2917284436503,190.63065041896635,333.6633714441327,100.72230480834568,27.212522359400182,332.67395610206927,38.76263758396555,1151.449105735148,374.9505176394227,1495.4835586041995,1316.845861112144,160.40055700302875,2779.9197739649367,78.78748854749722,50.6232104102349,58.72827958549615,145.95695401868062,401.2268012800479,90.23356461828352,201.6776894208592,827.9311586420972,1201.6431447776245,846.4470288398954,184.18978971795465,592.9194107961414,1108.0042593298888,862.7353015937987,572.0799799241643,651.0392225670155,65.84953814,1747.4107455305275,2101.738992658868,104.35265981993282,827.3455581746309,197.2614792506385,882.6342978538466,913.05399175296
2002-2006,221.72404805604265,62.366608193372095,327.4933399518424,130.1017145622393,1151.9102659212808,7001.881018744833,97.82790806790322,209.6359946489792,446.2881064574153,49.08962479517316,125.3344021366904,320.4303656658543,71.00951919752286,167.01190910426635,653.0866009542387,1222.316288800037,60.980859419634456,1360.4641498265232,95.35817535702856,2159.9802266201136,169.85790811658106,277.44619448830247,5.797174786619657,1668.4135363634082,21.470648870177826,343.6327061648782,377.8207685419425,222.03185485239905,959.7772432019436,1033.730273575028,60.91227865,213.49729949030785,3450.7953984906494,64.24837966749394,305.9431625,49.14810105092964,114.27551019390113,318.0636781961315,140.489520688854,108.80667951110618,584.2107077976573,190.80177052997317,310.05916551119753,99.909448392706,26.612528668011908,316.0916732194543,41.35879372,1068.2670780607305,387.15619609004864,1364.5112321321228,1356.0576382558088,147.02026185091816,2955.083573775762,80.61428699,48.01645535325928,59.985874147954455,120.37579137718237,421.0153267285412,97.03864892800506,183.16628062489988,827.9108363273945,1333.4952456554065,930.5511180523469,184.9575304781607,632.7029140064151,1248.3800901103782,868.3362949898831,602.3897820354226,586.2886921140979,75.76762476,1927.1832040110169,2187.363949685587,112.74168514254843,897.3992591577663,233.23025225345384,880.2518243694005,940.7363000310496
2003-2007,229.6222296365979,68.99142986650774,268.2547164739923,151.10264470400583,1297.710539581904,7084.589964593848,111.27357815273716,222.42549791760197,477.6114968333525,48.987521371800966,125.93581581503231,332.47998683819804,79.37002889122148,191.00865483647988,828.1974654224324,1302.3479489788651,76.46680905377654,1396.493648066897,99.95904399272467,2098.600132552084,180.2518713,287.6506583381148,5.796956745106597,1697.3463825194788,26.077133784325717,297.60894960179974,416.8703704684258,223.8050443507215,789.3483086,1208.7645093479214,67.43474657889723,230.3240344408208,3263.527793,59.05999934978099,301.7422244215935,51.940438930035306,115.27616376209458,319.07489487967814,134.96574716199598,116.95461543924208,599.0877806908925,191.0855597111008,308.87551224432224,105.490573,26.814543958526848,312.70787886902093,39.759458699303416,977.3962386439129,374.79883197172967,1241.3723118142468,1359.641400461236,138.24863116057807,2965.053596978859,88.38447646981912,47.72831595,51.626484386617136,110.22396288998758,433.2162610062487,99.27107859234812,179.50817663185862,828.3635863630675,1549.7593117889517,988.6129700360176,191.54847117269745,695.7530601501501,1309.584596164856,887.2651332,590.4501428353706,577.0662873792583,88.26324638086469,1947.0770524359375,2208.546075225336,127.09099037866592,1018.302851848642,270.6062379450121,862.5533844952315,954.7198182133347
2004-2008,229.0722140299159,71.39034841968844,214.47696878052656,159.4466299796484,1425.6648643031806,6673.365122,117.3586307716259,233.00568597985108,503.5981994610484,47.53979867548546,123.58685018993236,331.0362717194872,82.94482668881848,195.6204607691098,914.7362865278568,1323.0581602169243,83.86261054405175,1371.7085007848418,101.95875476141524,1833.9267732853784,172.1787869073809,279.6513718028726,5.197412733588457,1645.075495545738,24.48222729232037,210.6066597463029,419.1531293127195,220.64425848462696,624.3955638733182,1264.9167736358418,73.53917225536838,232.5940801975895,3054.9550255817585,60.46143482724831,282.3365964136832,54.33643097813189,116.88122976677847,293.8733118615432,134.20243808034513,121.1420083188041,588.2928867069011,198.2821908584308,291.7501124204456,109.31866522582936,29.41771450073358,293.9187295,35.36385764883374,923.0444132,431.7664762070216,1006.7656270049764,1299.6227919243238,123.08311747227398,2875.032181,84.54450111844166,46.84179764,44.54374824003297,135.0045556709778,420.62387783020233,96.8681748870516,168.90610220652306,819.5456136618589,1604.6785707485126,1018.6049253108156,188.1158658672075,716.6638708412918,1357.6229386853165,841.5477723246283,564.7560093052695,539.6502336899418,82.92896378659462,1983.8849911117077,2105.7865071294827,135.83929578309744,982.2276563265996,302.39860935102365,814.4441098243514,944.9013376773636
2005-2009,235.0889797440852,78.78555443359271,135.42726485126212,169.9767375858555,1458.451174610551,6309.286290395648,117.89295793106788,229.3965303844491,532.2656420241159,43.03358839988338,133.99162675373958,348.91482765936126,84.11199946250773,188.4519630770064,951.1530032000971,1357.5276290440845,88.23098215998388,1171.9019892398208,96.56709142537744,1626.9304907762996,174.08636888581586,259.0498763374733,4.198062063997628,1485.1209145406392,28.260938146008264,186.78747074315768,429.400363247236,210.5246727970727,530.7497889314842,1210.3519353919348,69.42054225571741,231.70502797345,2881.593696895047,65.45006649556206,259.7516510991065,53.35749260482028,121.49353716061846,267.46678220672226,128.85034667417673,134.5098367837724,562.5459463660349,215.9929776341697,273.675648577192,130.05392978594827,34.21258518077619,285.4991280888937,27.572089903891666,841.3439102572222,421.4667934180952,856.6657743613202,1255.5083317379244,105.31912822180216,2564.254016770819,82.56860372265014,49.82115752035798,39.02940600348341,131.41226037375958,396.0287955,92.65911102,149.57692347272723,800.5633042628469,1552.265663375504,1012.6901373300908,183.4870673221549,665.1708824472437,1407.010374474236,804.3871317174401,532.5297973232115,481.44797513600525,82.73443438762781,1837.231011437808,1956.4179406482608,136.2418549414145,895.2188064,342.1770751752905,743.4155351606414,887.2531961948966
2006-2010,246.3098384778434,81.36359130800396,120.58086526954834,190.54861324150585,1543.296594860344,6127.769725,110.73626865890154,225.79031871111533,547.3717245848138,39.98633596953714,137.14724324470956,354.8566146307345,80.33395280578999,180.8517924801101,964.4305671460936,1423.297990373721,93.71544155025478,890.1918514,100.16534716364528,1540.6652166129668,165.50569487124204,231.64873109680505,3.997972384324655,1410.8861156188395,29.05678789104101,194.7889144861586,429.5631767000574,208.59294306790397,531.5447657822095,1192.7630497008263,64.88080404,233.06558996533707,2649.619541826483,74.24109252580864,246.9610291000236,56.95570651516309,131.91111520517475,247.6697587856959,121.07370214881615,145.51471039407818,526.2979990170727,228.0882329580702,287.7809944,140.66062054355876,30.61980516807771,289.9153217724044,35.56274741205709,707.5341324446745,345.8313344377337,689.9485409891205,1246.5807932169037,88.75806935920735,2348.5249895840025,75.31991020806248,46.023539,44.11795651838277,118.2453095256558,371.2394051479252,80.48423829,136.7254706546585,720.7543905678299,1536.2980064809915,984.5074218137844,182.56588451002764,656.4864917492189,1395.1316341935983,746.3845597271646,504.5423179822915,441.8687770576122,87.30435881028704,1770.186245864164,1714.5176922959474,139.03766421362354,792.4344468896097,351.39191152123897,699.7314636790956,869.6333539751046
2007-2011,245.8882462737006,73.93437566212894,92.216482671168,195.30459128594063,1597.003503605945,5718.914235717305,100.70797052107773,219.78824445242643,564.1299167110919,36.52665302507388,137.27493961181145,331.69799811571363,77.75308982,168.84799874989352,935.9884653565032,1397.6701147259369,88.74224065,627.0183907419431,96.56509112925988,1403.4691759133636,157.95350926303172,211.84513777797852,3.5982651116660325,1284.6781521621656,25.651121023387358,175.53448942386015,420.0450321317226,202.39104361238856,575.6533076672644,1181.1340831709974,62.11912841599315,217.45876939915337,2492.433691302881,81.43363619945319,258.1388350167208,58.75703232697553,140.92092382464125,248.0698378143096,111.2839178,147.7192656377617,457.91017715493615,238.9565261762887,296.3511804774311,142.44230682938593,30.62518481056728,276.9193085158618,31.36786118494412,594.2167645407616,252.69957854977127,586.4515735,1199.976743041491,76.39353536642962,2104.0855019027977,65.92151781046405,44.23821754035593,50.07354560125903,114.05678962903906,340.8536705777889,68.52051276652429,117.3838997052461,636.6666739239178,1444.0616181108726,905.8033429089028,179.32008613603955,622.8916574589031,1280.419612490178,681.3778348203901,445.87971351605154,464.2212992139344,84.32619368321905,1635.0748832359718,1582.8670952967263,139.24504516594814,735.4247821255905,332.4033080104895,635.5000099880488,842.1137842177079
2008-2012,229.6053034143661,71.86584315,83.46761905416575,185.17357519805205,1481.3893990901618,5195.881097456131,85.31669091198575,206.98417504090477,559.8863134748294,33.39889528613377,125.72665580133024,292.0665530248268,68.00052677,135.25773827617064,806.8828155,1331.7824737762871,72.41731055177253,380.72387387808936,89.16847878988693,1310.046934891602,141.9902774361875,184.4413312733537,4.197742873800925,1178.649557282064,20.458076524771137,149.98775132486156,376.72566751927104,207.9051576800088,565.9790444847825,1075.4098026039362,58.15202597690482,197.51121221374905,2470.631364360359,76.62630523518047,248.3380490870188,57.752694082059776,132.71398757311968,245.8797420850211,99.28610703765403,139.7311551996968,403.0263018065493,238.90684558509105,282.14939204318324,131.4614402149972,32.827449562766404,261.3252917982918,29.569955093346127,485.8237222001875,194.3190727102041,509.6242066962206,1122.1301400451234,69.79544390330564,2063.8274043526267,56.96793240557329,44.60796140705059,60.48137996503634,90.05993055,309.85732922916617,60.24760991720455,103.86467718749093,567.5997796,1251.6897467469155,841.7840894,164.52877737635689,561.8069071050713,1234.1230239148726,629.8553064404907,407.4704717816739,459.9958837772444,76.39989811293935,1545.1711554197636,1472.951058660276,120.5081452398971,629.8525124593486,306.0277589467001,582.3689274997687,771.7939095303486
2009-2013,217.50279565272828,70.61034860040938,75.50978538980073,184.8535979893565,1341.317777677667,4953.375782443381,81.31760417747088,180.5943698525803,534.2105501842461,31.69870645435264,119.2637120858588,272.22639378857616,59.25103158969384,113.6584200173626,746.7998539715305,1226.5963182856055,63.304767357592425,247.54230677330636,87.16971938,1355.1887031836834,144.0806544,159.0391791108058,4.197679093,1052.938278049447,17.867771042414336,138.53613118522722,355.7926544,207.0881191169419,566.1605732825954,1014.1758002562397,48.27837614848472,186.2957456461536,2513.2145857395644,70.22277804805437,240.7247529574514,63.94685193122195,122.9097493935031,250.6797766795939,89.50012419233555,129.9458378,339.5502962563351,230.7961464042684,272.3264516678083,124.0545348164158,30.824533062424894,260.9319863661191,29.36941665337889,412.58113461613743,89.97095816370185,476.0415521643816,1046.752066849299,62.200476279223565,2161.985247531529,47.84622305238814,44.85746907784337,69.77697354661902,62.47961036,297.0628835277002,54.021003739521625,94.07241582230188,486.5194083781733,1157.1903012430023,776.8495479691717,156.5008502734552,517.9178012613785,1148.1285858405786,587.6563815205903,409.1688804968548,467.1546114342652,73.83179813943354,1378.182598983773,1657.3122779685689,110.7397741983582,633.3048690972821,276.8432931664211,493.91402067049273,716.6712628977627
2010-2014,198.4637829457791,63.01473485808151,65.36947687583482,180.5778416,1193.388063224967,4694.520382309898,80.19471386892072,157.7941449571648,486.4505617922864,31.14137595142826,97.84283022498433,256.9232256533834,50.31067261008988,98.05048103599842,672.2032203003412,1103.490994690143,57.13045264416617,199.7375935983929,84.76925138193279,1386.3272120641482,142.17445484566895,144.83531094739476,4.597387022,969.4808339909551,12.873673274362828,122.58338265152412,326.0820276,201.3898887218878,512.1462897414392,936.8658132639748,41.96304710250235,175.50894424924203,2478.960299156846,58.42254545675702,217.72623425596805,61.14211209608187,110.09043005960532,240.48021859413203,80.90426300593649,120.37736224274572,276.09061421150943,206.88752121651123,257.4762007254664,100.10742931074286,26.22552315557411,233.36917742517716,28.17236542854593,324.6601619943633,54.37727623486253,431.35530678561634,926.6688977,52.00446770872993,2180.351454,43.83779841822428,41.19622620915256,75.97922315185922,50.47344079183195,265.06298012843394,46.25952274268995,94.37674953321611,416.3169046603936,1065.2843115806045,682.5717214536928,160.7735030963905,503.034239097229,1005.3756237999733,575.0130617807617,387.28465546089376,431.3421427233389,69.07882229757021,1288.4660775091158,1799.6344796503236,103.74908681438886,593.7663417613581,236.06516240779635,402.50579559286905,632.4537437448035
