Category,Washington Heights,Washington Park,West Elsdon,West Englewood,West Garfield Park,West Lawn,West Pullman,West Ridge,West Town,Woodlawn
2001-2005,572.0799799241643,651.0392225670155,65.84953814,1747.4107455305277,2101.738992658868,104.35265981993282,827.3455581746309,197.2614792506385,882.6342978538466,913.0539917529601
2002-2006,602.3897820354226,586.2886921140979,75.76762476,1927.1832040110166,2187.363949685587,112.74168514254845,897.3992591577663,233.23025225345384,880.2518243694005,940.7363000310496
2003-2007,590.4501428353706,577.0662873792583,88.26324638086469,1947.0770524359377,2208.5460752253357,127.09099037866592,1018.3028518486419,270.6062379450121,862.5533844952315,954.7198182133347
2004-2008,564.7560093052695,539.6502336899418,82.92896378659462,1983.8849911117074,2105.7865071294827,135.83929578309744,982.2276563265995,302.39860935102365,814.4441098243514,944.9013376773637
2005-2009,532.5297973232115,481.44797513600525,82.73443438762781,1837.2310114378079,1956.4179406482608,136.2418549414145,895.2188064,342.1770751752905,743.4155351606414,887.2531961948966
2006-2010,504.5423179822915,441.8687770576122,87.30435881028704,1770.186245864164,1714.5176922959474,139.03766421362354,792.4344468896097,351.39191152123897,699.7314636790956,869.6333539751046
2007-2011,445.87971351605154,464.2212992139344,84.32619368321905,1635.0748832359718,1582.8670952967263,139.24504516594814,735.4247821255905,332.4033080104895,635.5000099880488,842.1137842177079
2008-2012,407.4704717816739,459.9958837772444,76.39989811293935,1545.1711554197636,1472.951058660276,120.5081452398971,629.8525124593486,306.0277589467001,582.3689274997687,771.7939095303486
2009-2013,409.1688804968548,467.1546114342652,73.83179813943354,1378.182598983773,1657.3122779685689,110.73977419835819,633.3048690972821,276.8432931664211,493.91402067049273,716.6712628977627
2010-2014,387.28465546089376,431.34214272333884,69.07882229757021,1288.4660775091158,1799.6344796503236,103.74908681438886,593.7663417613581,236.06516240779635,402.50579559286905,632.4537437448035
2011-2015,338.89186510151234,346.7060957675659,60.747226474599536,1125.8708233333527,1854.8430264705203,88.98780903496807,528.7691898816696,203.46553369214993,322.27612486931446,489.1904721735491
2012-2016,286.6163057573547,254.4853797371407,48.445428186759024,958.3024846,1824.9569106825566,71.00893998055011,422.29780872515056,166.69274890797547,242.31751296817052,358.9870272
2013-2017,225.3283255774178,193.85561624238252,36.74026939633362,797.9442966632326,1704.3407462729751,67.20090952,313.24709966343113,131.31457254114872,162.20813909643635,243.12899154684797
2014-2018,159.5386483245127,119.84794480764502,28.992217166285702,678.3544032229507,1462.3958546027848,57.03155393,227.5275961869571,100.72731147239654,116.83754144220813,176.48949364919946
2015-2019,128.68056126660642,90.24187761,26.601736153985172,559.3409321510126,1387.680853,44.47349362710632,176.86457540869145,81.54086623556036,99.44602522935779,138.4343542995371
2016-2020,91.10272128655708,72.63983803402373,20.24779359,434.15265623754743,1195.894494287216,37.08102864000084,137.82775053656303,59.96067004322525,70.75778333017516,112.78497575162912
2017-2021,74.79122119629352,56.64266248926728,18.852365759516868,353.09312232207714,1024.8170600886365,29.10654071285158,112.34911450079227,46.56691536253501,64.48442604423134,93.05133663282409
2018-2022,66.43284088881644,51.63743374288687,16.466608436876115,268.93217336974345,896.8126819834741,20.546629094050736,93.06340857066157,43.57601658865957,63.17533389,77.83366098585896
2019-2023,62.304751621149705,47.22671023,14.471889000237848,209.24967865361296,779.9808762043741,13.370951704082552,73.10886114111374,42.56959345762588,62.39634937312799,56.16643488404237
2020-2024,47.741032094890734,28.816588255787657,9.519867486,163.01132169600163,542.0364451953745,10.578157875643877,56.04960866812158,33.77064659645401,58.90549286520939,33.44743361102401
2021-2025,48.94646608843413,30.411779576507357,8.925017574226448,159.5199039865155,461.4320222055759,8.980426306964299,51.470947522356525,28.772115585312388,61.57148369,33.24040085382764
