Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2009,295,88,93,396,440,802,111,260
2010,328,100,57,415,412,756,91,302
2011,309,99,50,409,349,543,80,325
2012,381,91,70,470,378,613,82,380
2013,437,133,53,554,423,738,107,400
2014,413,125,85,540,463,685,138,381
2015,446,106,83,514,471,672,104,442
2016,517,112,103,583,568,804,175,498
2017,478,98,102,626,633,917,207,480
2018,450,101,104,569,684,976,212,483
2019,408,99,77,473,673,952,177,402
2020,412,78,51,376,558,664,153,384
2021,593,118,114,567,656,912,187,496
2022,448,88,76,454,624,875,173,403
2023,357,78,80,364,499,674,128,313
