Category,Albany Park,Archer Heights,Armour Square,Ashburn,Auburn Gresham,Austin,Avalon Park,Avondale
2006-2010,51813.07942,13043.67606,13633.64162,42556.43893,53103.31738,99776.65071,9815.746539,39996.87675
2007-2011,53839.57069,13113.67172,14290.50211,43109.85099,52637.99398,98518.65074,9897.650047,40046.1633
2008-2012,54015.51855,13522.03386,13751.55213,42958.13919,49723.90053,98381.857,9494.592068,41546.09274
2009-2013,54136.8549,14217.40033,14153.50124,42990.93266,49037.54342,98211.80761,9818.04455,40269.34565
2010-2014,53052.35197,14085.47204,13885.14183,42980.50365,47715.89024,99911.65767,9964.572381,39125.28822
2011-2015,52208.5427,13383.12453,14047.22942,42921.88287,45936.25028,97850.87396,9686.492551,39730.65856
2012-2016,51701.42415,13357.41622,13679.62923,43448.49701,45862.52505,97816.01354,9712.826578,38201.62764
2013-2017,52123.08576,13266.38962,13447.80008,43962.54588,46375.13165,95472.01314,9900.021093,37378.68837
2014-2018,50474.74665,13178.41356,13768.80798,44160.60882,45362.69774,94982.42342,9660.057472,37918.91455
2015-2019,49941.76563,13816.24924,13585.42411,43537.90972,45992.39708,93940.66633,9589.463276,38127.17523
2016-2020,49438.25315,13612.35166,13395.54933,43084.57334,46777.51744,95279.32438,9496.930838,37347.36079
2017-2021,48822.58836,13669.57049,13283.33538,44401.50793,48110.20371,97534.41271,9645.457075,36808.09203
2018-2022,47854.8751,13948.25753,13177.96891,42925.94412,46529.7742,100345.1375,9516.095607,36361.58397
2019-2023,46804.28451,14098.4604,14175.61619,42255.07107,45108.97228,99100.0738,9346.856833,35476.86608
2020-2024,45707.82126,13492.19323,13821.73562,42179.8618,43860.69939,97671.1108,8939.367648,35520.90178
