Category,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland
2006-2010,14842.39078,3457.484755,63617.37682,7772.921765,5888.075449,52358.73868,47747.53932
2007-2011,15747.49942,3465.744783,63751.26871,7473.242749,6422.323642,53958.60719,47283.35668
2008-2012,16528.19241,3854.647908,63595.40059,7315.605512,6802.347997,54893.38518,45376.97619
2009-2013,16670.19639,3929.163278,63571.47716,6986.072626,6984.631446,54500.36875,44585.00909
2010-2014,17021.98336,4105.357132,64404.81751,7021.821534,7162.067606,52402.39378,44356.41546
2011-2015,16263.08404,4039.685422,64823.83147,6553.859864,7064.899251,51605.18878,42593.11377
2012-2016,15759.34847,4099.766763,64499.03972,6670.606608,7353.074556,52380.80592,42417.72318
2013-2017,15064.61237,4179.917938,64289.22338,6659.361888,7366.055605,52041.01371,42527.58309
2014-2018,15414.72956,4232.054738,64936.44788,6859.982594,7231.495006,51985.01521,41199.29326
2015-2019,15655.21018,4425.440249,64579.12901,6881.377037,7325.656375,52553.20678,39252.98949
2016-2020,14475.62029,6976.814587,63936.26162,7175.853527,7377.567309,55478.14763,39749.55814
2017-2021,14629.78645,7416.504739,65582.10596,7188.233132,7893.111794,55627.13265,39253.12846
2018-2022,14955.68162,6980.744527,64231.31805,6900.332141,7777.723412,55556.21198,37732.96992
2019-2023,14996.9122,6949.24703,61811.44488,6782.766151,7500.469194,54255.11722,36819.15573
2020-2024,15286.6051,6940.063702,63049.27293,6783.76006,7483.432139,54023.51405,36745.38199
