Category,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2006-2010,18.08254133,9.690509032,11.94580673,18.07181799,7.320906829
2007-2011,16.80830323,14.17596255,14.0425856,19.16524115,8.091782077
2008-2012,18.01994983,18.36575064,14.22637419,20.07718798,8.944082384
2009-2013,20.420442,23.54376282,15.63815801,23.14278334,9.296420055
2010-2014,20.85272335,24.55919425,14.98063079,22.59385386,9.370494973
2011-2015,21.70944188,26.38351279,12.69403381,22.01263794,8.88047793
2012-2016,23.10774016,24.01873506,9.10874373,20.75144384,7.395400279
2013-2017,22.3972154,23.58048364,8.863724187,18.33121583,5.635729707
2014-2018,21.26011527,18.69252466,8.538968649,17.14230171,4.543365926
2015-2019,18.23604461,16.12880624,8.700743964,16.29979256,3.572312831
2016-2020,16.47747969,17.41094402,9.089852864,16.66130625,3.436467734
2017-2021,16.95829249,13.51342207,10.48448589,16.96990763,4.307893333
2018-2022,17.14722289,15.23470762,9.947041785,16.82051255,4.643744109
2019-2023,15.47945629,12.38769714,8.458289482,14.66838768,4.599942497
2020-2024,15.40251659,16.05438057,6.753135123,15.54278904,4.841640152
