Category,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown
2001-2005,401.2268012800479,90.23356461828351,201.6776894208592,827.9311586420972,1201.6431447776245,846.4470288398954,184.18978971795462,592.9194107961414,1108.0042593298888,862.7353015937987
2002-2006,421.0153267285412,97.03864892800506,183.16628062489988,827.9108363273945,1333.4952456554063,930.5511180523467,184.9575304781607,632.7029140064151,1248.3800901103782,868.3362949898831
2003-2007,433.2162610062487,99.27107859234812,179.50817663185862,828.3635863630675,1549.7593117889517,988.6129700360177,191.54847117269742,695.7530601501501,1309.584596164856,887.2651332
2004-2008,420.62387783020233,96.86817488705161,168.90610220652306,819.5456136618589,1604.6785707485126,1018.6049253108157,188.1158658672075,716.6638708412918,1357.6229386853163,841.5477723246283
2005-2009,396.0287955,92.65911102,149.57692347272723,800.5633042628469,1552.2656633755041,1012.6901373300907,183.4870673221549,665.1708824472437,1407.010374474236,804.3871317174401
2006-2010,371.2394051479252,80.48423829,136.72547065465847,720.7543905678299,1536.2980064809917,984.5074218137845,182.56588451002764,656.4864917492189,1395.1316341935985,746.3845597271646
2007-2011,340.8536705777889,68.52051276652429,117.3838997052461,636.6666739239178,1444.0616181108726,905.8033429089028,179.32008613603955,622.8916574589031,1280.419612490178,681.3778348203901
2008-2012,309.85732922916617,60.24760991720455,103.86467718749091,567.5997796,1251.6897467469157,841.7840894,164.52877737635689,561.8069071050713,1234.1230239148726,629.8553064404907
2009-2013,297.0628835277002,54.021003739521625,94.07241582230189,486.5194083781733,1157.1903012430025,776.8495479691717,156.5008502734552,517.9178012613785,1148.1285858405786,587.6563815205903
2010-2014,265.06298012843394,46.25952274268995,94.37674953321611,416.3169046603936,1065.2843115806043,682.5717214536928,160.7735030963905,503.03423909722903,1005.3756237999731,575.0130617807617
2011-2015,239.2521041923201,45.78606938241749,80.97204162606725,333.9704655407235,918.9498951,613.7046141712069,146.43282654971233,458.4644728905479,881.6724873688901,500.0099579
2012-2016,206.6440175011188,43.87342737,72.13817063100726,265.313839,747.9485328415625,517.0251861804583,120.89281825718251,381.83708702377385,710.3144071806186,392.8099463357492
2013-2017,180.23354144464275,37.21148653454576,60.56110665555662,189.4444137552981,590.1453209623248,425.34688467125545,106.31302487706719,313.8048824934192,533.4957534388525,271.5621498399791
2014-2018,118.23004872378394,34.16404549079802,51.99759323035849,134.45874385917332,455.02509312229756,350.5002223122493,91.31627508,279.75169169619426,416.94683927209013,195.4406247
2015-2019,87.02303081814006,33.642980954283225,39.48308373098914,98.36004831168533,357.9194694065351,266.01378260144264,67.19966757,257.0991282441466,340.3479884886984,107.71936338191408
2016-2020,56.81497771253063,27.801744410871297,30.734970851897483,73.21063276015971,286.51379586227137,195.28525137883238,52.41698656946153,215.0833505060039,262.0610184027566,67.39904660526503
2017-2021,46.209521820716866,24.163106483786592,24.94871467600387,64.21599423211828,226.80002109809283,156.5407635279311,42.433445309770164,189.75278520328075,223.08194517831112,50.159648354320815
2018-2022,41.60995933555552,18.74100267736874,18.771104142837462,63.02166657270165,184.85587722890725,124.98649922574836,34.657377911239536,167.06965069990517,198.44510133533296,40.91903768119947
2019-2023,47.209794250936525,14.70919503390155,12.55974338708294,62.814559885659165,143.16000089466974,86.03014733,28.297190103193127,128.81722189203202,157.03245923098874,36.59975120615705
2020-2024,48.40794984,10.066866765499151,6.386805687388707,55.94611475936619,105.95314304740998,42.481711569148665,16.537112231802446,77.86132723244415,92.28664279181557,30.922281375921603
2021-2025,56.406583431575214,9.257239982463368,4.400766337402871,60.87564687319646,100.08983429663994,40.09952149577662,16.352523769796626,81.39038263,79.61410946474265,31.801695992360816
