Category,Portage Park,Pullman,Riverdale,Rogers Park,Roseland,South Chicago,South Deering,South Lawndale,South Shore,Uptown
1999,40.67776154147102,35.415763211377275,30.584720164971884,42.20324857852549,35.19389942096189,33.88365667894209,31.974987839834704,39.173887769036334,36.93872778830592,45.130886351966424
2000,,,,,,,,,,
2001,,,,,,,,,,
2002,40.67776154147102,35.415763211377275,30.584720164971884,42.20324857852549,35.19389942096189,33.88365667894209,31.974987839834704,39.173887769036334,36.93872778830592,45.130886351966424
2003,,,,,,,,,,
2004,,,,,,,,,,
2005,40.67776154147102,35.415763211377275,30.584720164971884,42.20324857852549,35.19389942096189,33.88365667894209,31.974987839834704,39.173887769036334,36.93872778830592,45.130886351966424
2006,,,,,,,,,,
2007,,,,,,,,,,
2008,,,,,,,,,,
2009,,,,,,,,,,
2010,,,,,,,,,,
2011,36.93352242556042,35.24816335735175,31.762341359027456,33.512036122118836,34.21495562896438,33.30055284206897,33.54483295412582,42.24738431973415,33.70372118500284,36.52481655755981
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,36.93352242556042,35.24816335735175,31.762341359027456,33.512036122118836,34.21495562896438,33.30055284206897,33.54483295412582,42.24738431973415,33.70372118500284,36.52481655755981
2015,,,,,,,,,,
2016,,,,,,,,,,
2017,30,30,30,30,30.00540923627882,29.999999999999996,30.000000000000004,31.46528736010981,30.000000000000004,30
2018,30,30,30,30,30.00540923627882,29.999999999999996,30.000000000000004,31.46528736010981,30.000000000000004,30
2019,30,28.57215092461849,20.039366291313364,20.000000000000004,25.023458888616755,20,20.007157897961022,30,20.000000000000004,21.096277292354582
2020,30.000000000000004,30,30,30,30.000000000000004,30,30.000000000000007,30,30,30
