Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park
2001-2005,1444.674545,1007.170438,1647.147108,588.7081904,1835.152438,127.9261878,2809.37555,311.3925168,400.9703892
2002-2006,1351.031227,972.1808592,1695.63576,585.0706716,1771.740449,114.7346477,2763.516979,301.8265202,383.1290367
2003-2007,1279.732868,937.7996421,1705.998671,587.9831524,1694.329956,110.7375246,2768.274113,284.3994197,352.1816401
2004-2008,1197.879724,916.5942171,1711.539103,584.8359169,1672.32189,116.1343444,2817.039562,285.3453753,342.9034317
2005-2009,1084.814641,931.5854254,1635.509621,571.8138507,1593.103261,121.7313861,2819.389301,293.2419249,318.2481857
2006-2010,1012.80321,905.5964948,1618.670008,568.1487727,1512.504442,113.3365725,2821.556294,285.7411481,315.5139764
2007-2011,942.9588662,912.5893046,1606.308542,559.4592655,1450.906221,113.7354184,2770.970085,287.2433173,306.6814049
2008-2012,906.1999247,890.779806,1551.275653,556.367655,1420.914236,111.9365909,2682.588837,296.7703352,306.8805934
2009-2013,892.9703365,826.6088082,1464.558557,521.8082926,1338.514151,105.1402189,2509.603958,277.5662514,294.1939321
2010-2014,860.3642789,724.4664453,1406.88405,476.1525649,1242.311266,94.74547814,2300.751785,250.2375894,289.0966573
2011-2015,835.9041474,658.6984268,1276.653162,420.1160021,1145.104249,89.94770819,2059.309705,224.6735109,262.8902193
2012-2016,827.4986271,611.9093311,1137.811638,384.5658223,1051.68945,83.75087996,1812.422128,223.2387782,250.7556087
2013-2017,828.651866,548.9389418,1041.131378,340.4414203,987.0777392,80.9520234,1577.047344,210.648615,239.5876872
2014-2018,824.2293008,508.3658238,1004.16231,305.7814884,974.4706185,75.35514033,1430.079688,213.1840945,224.8416223
2015-2019,855.4425501,482.9833456,994.427285,275.8239744,992.4665863,73.35668758,1341.96505,209.7402967,219.991847
2016-2020,817.6407066,454.9910411,971.2339721,261.0987218,987.8592149,74.95525816,1236.199919,205.1113369,207.0450647
2017-2021,782.2177811,423.0093109,918.4750144,235.7949953,978.6580272,68.1600184,1145.277575,183.1101516,175.973342
2018-2022,821.8132512,417.6175719,943.2647863,237.2934083,998.4763431,69.15919194,1125.310724,177.9286581,162.2347047
2019-2023,927.2129668643856,468.3963218464925,980.0859777643192,277.0716172829925,1076.1402287619949,72.35680634336568,1148.687250448074,181.16363696528288,166.40910566693458
2020-2024,960.6594413471914,513.9803842745607,967.0435280130978,319.6079800193749,1186.9598132919286,76.95372724478001,1145.4804887009534,191.3942014566169,156.4861117663524
2021-2025,1065.483910146508,536.9767283811331,975.3327998963612,368.2984878682087,1266.4042811432814,79.35180459635136,1183.256978241407,191.39552489691823,162.63833741970802
