Category,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side,McKinley Park,Montclare,Morgan Park,Mount Greenwood
2001-2005,936.708124,4021.100563,4145.661951,1321.52394,4399.431743,5326.199861,1505.099861,864.3794791,480.6042863,1025.263058,319.2407008
2002-2006,895.9099961,3894.587964,4009.84143,1323.105783,4156.067214,5013.153289,1467.234244,830.9580839,456.3375269,1023.065726,295.8805816
2003-2007,880.8788094,3799.80359,3906.809741,1267.386761,3977.601451,4843.967738,1439.086638,787.9850809,429.1431761,1069.281472,290.4927761
2004-2008,824.6476275,3768.362044,3791.374589,1248.051428,3785.390598,4774.484925,1345.914985,735.6506607,403.7036409,1088.732462,282.9068851
2005-2009,799.1984162,3686.757897,3702.375291,1197.170797,3622.272291,4595.848061,1237.330256,698.1651759,407.0828548,1098.510111,272.7172432
2006-2010,764.5769566,3739.512826,3689.707185,1164.2465,3650.460842,4506.792826,1181.725554,662.0832416,399.9052606,1100.39666,263.7215048
2007-2011,761.9546951,3773.505622,3638.974917,1114.4764,3626.502976,4425.535119,1129.300273,619.0886707,393.4796841,1097.824839,249.9332284
2008-2012,735.7461412,3825.344933,3504.840303,1121.261961,3551.827529,4371.942617,1088.712302,598.4076095,377.093595,1046.246343,243.136489
2009-2013,708.9327761,3686.357934,3257.126549,1085.704315,3369.281088,4258.501996,1064.529034,571.8661752,345.293877,998.9825001,229.1468281
2010-2014,653.7262386,3474.939703,3033.727875,1005.830415,3105.054371,4166.224,1037.228855,517.2360277,296.0499489,934.2414897,221.5550582
2011-2015,579.5037162,3246.946536,2767.510481,916.0114045,2790.464318,4141.781802,969.1297341,484.6656452,266.2010811,873.3226522,203.1743468
2012-2016,520.7145298,3034.753307,2600.674932,860.6118413,2594.98201,4282.884516,892.7487037,454.2673682,239.3873416,779.0146041,201.5765223
2013-2017,488.317321,2794.33778,2504.005717,808.293188,2404.81621,4623.579127,825.3690082,412.6082623,207.777178,719.2220108,192.7859951
2014-2018,473.5280705,2682.909304,2557.34877,766.2204198,2298.220005,4964.814592,757.1593871,377.1037049,199.9396398,683.1117615,184.8002951
2015-2019,455.7391406,2700.705094,2542.989344,768.1897972,2298.6052,5331.810684,711.0343627,359.815578,197.9462978,650.7543973,169.4165735
2016-2020,446.1258874,2572.486317,2393.838669,792.1691568,2169.05216,4944.093268,676.1846432,321.1440259,186.9079865,605.9973282,150.8392607
2017-2021,434.6936842,2423.885356,2195.74609,768.4162381,1918.942806,4426.812311,643.7369792,284.9942106,170.6831518,584.5714708,129.461155
2018-2022,473.7229162,2422.270526,2053.814884,766.0319963,1812.8253,3986.657943,680.2017125,273.0102335,178.6410189,569.0324121,117.4756581
2019-2023,572.5779828949524,2568.239600985894,1877.7032226406889,767.8644302,1884.7489733124485,3627.525365642585,746.0018966,284.17213744996667,189.88521072804244,543.8773297331646,106.69143357864628
2020-2024,650.4459172870035,2705.484802189816,1922.351640565627,803.0545406647102,2007.3883059640048,3356.851743658343,816.9622514130779,314.28306560388324,197.29832600083364,561.0710212814123,108.8967791506976
2021-2025,735.3430146554387,2917.5126778096696,2063.909564417307,805.9083004210797,2137.2891933568185,3696.215259487528,883.5853306067934,351.5049653,218.1285804937363,588.8449919430855,118.08371257020622
