Category,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park,O'Hare,Oakland
2001-2005,6219.99882,1226.326415,5302.320579,2640.890559,1231.076216,2536.176343,710.3817309,671.1618198,855.4461299,262.1387336
2002-2006,5752.395545,1253.638926,5145.539862,2533.114305,1199.41285,2485.10635,664.2500791,649.7673163,764.3416231,253.9363623
2003-2007,5517.716357,1237.816362,5021.788669,2490.801609,1171.285594,2478.371607,635.5606104,637.2815959,736.114531,249.1247139
2004-2008,5437.026688,1213.678374,4831.489424,2396.403101,1148.460316,2415.752216,629.271797,618.5697443,721.116246,245.3002352
2005-2009,5262.364978,1103.268124,4571.440167,2243.224082,1152.269373,2300.925866,605.3138836,607.003012,694.1764868,243.485335
2006-2010,5293.502999,1040.118447,4557.077197,2171.098713,1140.385637,2321.728256,575.556942,596.4355346,662.2329666,248.2709444
2007-2011,5266.469077,935.1563779,4524.067186,2116.705862,1121.61398,2342.816431,561.183854,590.8607227,606.7353799,254.4335319
2008-2012,5279.818952,885.3692,4469.3281,2023.407133,1103.427679,2335.556496,550.4328225,584.5476372,580.6522536,249.4218854
2009-2013,5126.172986,830.0427662,4242.962978,1920.492608,1054.885774,2244.715869,518.1955311,548.971456,547.6808347,240.2077714
2010-2014,4923.072807,828.2907826,4074.450517,1814.636429,962.6684609,2160.341535,487.8634264,518.8282167,533.3765994,228.1778972
2011-2015,4695.550324,788.6450264,3834.816806,1649.731588,888.6212202,1946.706926,452.8708696,492.0818703,528.7279868,208.7517945
2012-2016,4655.068272,779.6442373,3798.795626,1481.177835,813.4638538,1782.643602,435.1611026,470.3707655,540.1023485,213.127055
2013-2017,4716.113881,751.0570943,3744.16699,1351.65175,747.7682399,1640.203154,415.5056765,433.3483331,522.3224453,208.1356556
2014-2018,4921.356038,741.6079074,3833.35276,1238.67992,689.1598977,1585.877516,415.9562852,424.1586151,530.3163247,206.5314074
2015-2019,5218.526131,732.4420763,3943.373338,1154.191766,652.2021018,1544.064933,394.6877482,415.4880507,534.7153852,204.7309146
2016-2020,4989.790279,702.6321389,3791.14209,1057.009153,613.9352011,1499.640596,375.2670614,394.4865087,492.382304,195.9335329
2017-2021,4617.863827,677.7637064,3483.676344,944.4941858,568.2687571,1419.575948,340.8989456,358.2652563,461.8606348,170.5312832
2018-2022,4348.150705,737.9890831,3531.010348,885.8503975,549.4345383,1406.57371,319.8969575,366.1034979,479.5147509,182.7090064
2019-2023,4143.507231490645,802.2117956403977,3598.652179,934.967014,574.0853954568377,1426.9878457184195,335.6182374754878,379.45757131918737,481.0177905126778,208.31750458231323
2020-2024,3999.386409030456,866.8412886495512,3736.802067,940.9366890802067,584.7667147,1412.6707885847766,373.24786321833216,396.2754708349142,463.5268648981262,239.3257614
2021-2025,4405.260088208997,929.5080806757272,4111.498569936523,978.4119751643896,595.5234391286536,1394.221441424415,421.6902461181463,416.1820396904945,504.8943723639276,267.3478934619827
