Category,O'Hare,Oakland,Portage Park,Pullman,Riverdale,Rogers Park,Roseland
2006-2010,78.3332801,82.78731359,81.73677749,84.96246496,75.32756904,81.86712645,82.79548194
2007-2011,78.15442206,80.0428342,81.12856056,84.94531866,74.61936288,81.92682085,83.48418486
2008-2012,77.68032781,82.15312907,81.49085529,87.12759318,71.67869624,82.04940493,83.71087731
2009-2013,78.5638956,81.48141929,81.49366338,85.81656434,71.96749466,82.60841605,84.17170951
2010-2014,80.39511083,80.82368957,82.73787628,86.03435008,73.07750199,83.92607812,84.57646429
2011-2015,80.65348987,85.34086436,83.42062061,88.47910727,74.46119393,84.79851588,84.50533917
2012-2016,80.45309377,84.82195965,83.98101107,87.31513737,75.92260891,84.95384769,84.80924886
2013-2017,80.16685901,84.53929379,85.24358593,87.99284976,79.00883862,86.16360812,85.56302801
2014-2018,81.57855447,88.20297285,86.04005702,87.0878628,81.69675568,86.62617856,85.17925413
2015-2019,81.94786612,90.53390371,85.73303263,89.33785629,84.11274809,87.38268523,85.12860109
2016-2020,90.80656485,91.79917439,87.05150016,89.19879838,86.34593805,87.8839532,85.94660501
2017-2021,90.44667066,91.6445546,87.73440316,89.21903043,86.87277576,88.36267544,85.98278672
2018-2022,91.21070014,90.27811031,87.81228327,90.31202175,85.86545289,88.93645419,85.74937277
2019-2023,91.3780953,92.1147529,88.40360887,90.58193331,86.03776643,89.86383172,87.86704932
2020-2024,91.25443741,90.73928278,88.19564768,90.73879608,84.50148044,88.35524236,88.07158852
