Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
2009,501,166,203,193,48,112,260,563,214
2010,594,167,183,262,41,123,264,537,215
2011,620,188,206,236,24,105,225,493,198
2012,666,205,223,249,24,125,282,451,284
2013,719,262,249,264,35,137,311,476,382
2014,594,236,291,250,40,141,305,480,309
2015,609,249,285,239,39,171,317,477,321
2016,608,276,332,252,45,183,378,512,359
2017,616,329,374,242,40,219,445,551,381
2018,554,278,341,260,51,212,377,561,397
2019,484,319,323,238,45,185,413,480,352
2020,366,291,258,151,41,166,374,373,305
2021,571,389,413,258,40,200,505,511,445
2022,505,275,291,233,38,188,421,427,340
2023,341,232,209,173,28,194,337,342,263
