Category,Douglas,Dunning,East Garfield Park,East Side,Edgewater,Edison Park,Englewood,Forest Glen,Fuller Park,Gage Park,Garfield Ridge,Grand Boulevard,Greater Grand Crossing
2009,86,428,228,103,652,111,511,163,43,241,299,233,345
2010,95,500,197,116,624,109,470,192,26,249,294,289,326
2011,71,424,185,109,532,123,337,185,35,196,295,233,256
2012,127,524,168,128,757,134,294,238,15,233,381,273,255
2013,111,670,205,162,873,189,274,317,24,243,452,333,298
2014,101,579,166,151,843,178,215,256,26,242,413,278,334
2015,125,580,157,139,888,201,246,302,24,236,433,260,310
2016,114,658,182,179,980,206,236,293,22,193,492,318,373
2017,134,676,185,187,1009,196,317,286,30,180,519,333,374
2018,129,631,190,206,1291,203,318,276,32,213,546,305,489
2019,156,649,200,193,996,210,324,269,31,201,508,303,383
2020,116,630,147,175,835,236,261,280,26,147,440,237,384
2021,150,773,191,226,1273,266,367,328,31,204,622,305,469
2022,137,602,169,208,1062,238,335,290,24,171,468,239,438
2023,104,449,145,169,895,172,254,231,31,125,378,173,349
