Category,Belmont Cragin,Beverly,Bridgeport,Brighton Park,Burnside,Calumet Heights,Chatham,Chicago Lawn,Clearing
2006-2010,63577.636543589855,128112.68932191182,64674.31877591031,55004.82821,45282.821459244995,78610.60819,54914.22708429656,55486.510430940856,80995.08634486173
2007-2011,61762.26649475496,128295.17746649087,65108.60359042713,51591.68013265859,48670.65630753634,79169.63259239562,51718.01319643192,50734.01282,77027.11412136572
2008-2012,59482.93372353182,127736.99636845039,67149.80644,49998.75945450782,37697.63143628045,75130.60981938944,47003.013049999674,47430.91376137064,77981.64438
2009-2013,59244.102277582315,130017.44993547926,62047.762301874114,48481.93816258038,25739.46827567329,74834.4189,46366.75975,46414.31208762175,82224.28839172276
2010-2014,58047.71675516292,128343.70102109155,57787.795580206046,45794.75415362128,33547.601195607625,69010.99881047549,48938.91938691689,43695.46973885326,81789.38906930183
2011-2015,58510.37381190938,117286.79270977784,62043.455610073695,45923.846803682434,30687.188544750683,66635.30229671355,47987.98318239319,44500.72853680633,81796.48712415899
2012-2016,60371.09033413676,119840.36028945894,60065.27022574557,49805.34177,30902.472547486366,62369.90855975391,49511.71479654966,42755.60394011517,83981.98063887071
2013-2017,61459.91939367905,130512.34457025328,62389.72202,50142.35563038291,31848.64555758367,60281.222619623826,50608.447993368594,43681.02881,84253.51439452461
2014-2018,64382.19664528874,135956.60384810946,67232.22819890993,50897.77091600561,31545.016649913974,58789.26500026127,49205.762136512036,43468.82564730865,78243.81991221324
2015-2019,65128.77667746182,131257.9801,72039.9728,51733.23574869406,35417.212750756524,56818.237453090456,52135.84955785659,45107.66689223238,74763.36511541961
2016-2020,71901.86266890052,136049.86327821703,74198.58520319685,54711.62831539969,48284.76824913067,74700.41698078593,51783.21152775713,45841.12453247353,70746.89039777119
2017-2021,70385.51109246381,131538.4887057512,80796.45812025495,54500.89315411749,52377.928918197795,78767.73897108286,47934.82380836333,46501.602529751595,73884.63124296494
2018-2022,66627.52543172943,138174.21376267463,79215.24193782089,55322.03552963459,48634.65605582381,72289.31559356036,46198.963803452374,47346.281686604896,78956.91731871964
2019-2023,69761.88393244277,131021.69036201279,76475.512,59755.01154936037,47999.296286938115,70015.98234398752,49688.46977474203,50746.07474857452,80883.79683915582
2020-2024,69937.27463039989,130925.63311270237,77773.97644318096,64056.544290970305,47058.44498363915,65397.43058496081,48332.46061953288,54010.640858633924,80699.66444176168
