Category,Kenwood,Lake View,Lincoln Park,Lincoln Square,Logan Square,Loop,Lower West Side
2006-2010,11.48499136,4.82046696,4.032340688,7.617515124,7.065707947,5.702867518,12.22917794
2007-2011,11.64901698,4.812966938,4.624329576,7.762749831,7.512111291,6.944342811,14.74150056
2008-2012,15.86474566,4.899851164,5.165133389,9.981847146,7.800958621,6.911452011,17.75133411
2009-2013,15.45003705,5.016442566,5.308320513,9.306762136,7.332704227,6.802239829,18.07925261
2010-2014,14.28449511,4.423214053,4.819502117,9.063376424,6.543406275,6.236999533,16.53431945
2011-2015,14.54647907,3.898434854,4.197432896,8.266340656,5.524101161,6.253394392,14.40240212
2012-2016,12.89773301,3.224348622,3.661260029,6.868009381,4.748506222,5.920283579,10.1895645
2013-2017,9.962099529,3.079066262,3.234392545,4.175240386,3.790810219,5.424005176,7.496218572
2014-2018,8.234848581,2.887066005,3.075777952,4.226639665,3.628851351,5.813869065,6.091036791
2015-2019,9.577575308,2.801458288,2.736089684,4.153887863,3.171140327,5.613862931,4.872923391
2016-2020,11.63821413,3.231086875,2.9914986,5.600340471,3.362638447,5.442729591,6.465815482
2017-2021,12.17223928,3.861992159,3.489573083,5.865554326,3.78858402,6.294112267,6.343332772
2018-2022,10.8529674,3.68886087,3.667269435,6.109402777,4.37168085,6.174149347,7.526146738
2019-2023,10.395491,3.392707365,3.766018105,5.516879993,4.159865859,7.329214001,7.338383695
2020-2024,12.46665709,3.341390155,4.480377852,5.324840156,4.507461303,5.23897204,7.019490985
