Category,McKinley Park,Montclare,Morgan Park,Mount Greenwood,Near North Side,Near South Side,Near West Side,New City,North Center,North Lawndale,North Park,Norwood Park
2006-2010,12.13891679,10.95605889,15.24915872,7.976990952,6.006621812,10.68314564,15.47943553,16.94294063,4.111615541,18.43057905,5.435639859,7.41991842
2007-2011,13.63800506,12.30196034,15.22722389,7.790361886,6.82480718,7.232712953,14.25634499,19.0278401,5.14807699,17.71177418,6.71948963,8.067920405
2008-2012,13.63087829,13.95014865,14.83719058,9.383561965,7.707866363,7.886533516,15.33351255,23.47885278,5.363808872,21.37517105,8.738808941,9.090986931
2009-2013,14.48446603,14.63033325,14.65410248,9.283182684,7.166092357,8.265071116,14.90259735,23.89878839,5.562615935,23.45857057,9.121935768,8.793518953
2010-2014,13.96843836,12.6195721,14.77124374,8.986942546,6.399972623,6.332916949,15.2715396,25.45481778,4.930702778,23.77527277,9.304418952,8.290549837
2011-2015,12.97943774,11.30850441,12.46417096,7.522358296,6.179142459,4.784303442,13.97262367,22.07181272,4.709502133,22.1689327,8.648045042,6.694399118
2012-2016,12.08347197,7.470824698,11.9945611,5.19572344,4.490649099,4.592362029,12.79852218,20.28775062,4.437167036,20.64210056,7.390087169,5.409581355
2013-2017,11.41601996,7.716609611,13.07836978,3.506885856,3.541856075,3.367694048,9.943240263,17.21346965,3.865881788,18.2485205,5.772998452,4.033203751
2014-2018,9.705091522,6.594471811,12.10942436,3.826827507,3.097002028,1.53448527,9.597217014,15.89967101,3.45896234,16.45827016,5.660225326,3.480262245
2015-2019,7.542144373,5.620317382,11.29581453,4.100417284,2.64779676,0.709945356,8.386220697,14.35052837,2.767528877,14.40975391,4.521950774,3.189471942
2016-2020,6.204295723,4.076919408,11.17812557,4.445248034,2.590279492,0.79213236,6.831084876,17.10573441,3.227661997,17.19398313,4.825039599,3.804494662
2017-2021,7.491057324,5.362294047,10.65424841,5.483331149,2.747999534,2.039007711,7.07704747,15.37761684,3.658630109,17.89954194,3.579562834,4.461458641
2018-2022,8.08251564,4.176817737,9.018792595,6.093179729,2.782358315,1.984626557,7.020788644,13.60325368,3.634805964,15.00826739,3.746121304,4.030903836
2019-2023,8.319463576,3.954944267,7.591596237,4.555976031,3.069717268,4.558603665,7.103445039,12.66705807,3.954677886,13.57362756,4.271074521,4.219936635
2020-2024,8.697650845,6.03668404,9.743916622,4.261743812,3.335786048,4.177664994,6.955009321,12.5447195,3.914636299,15.04293422,4.138091463,4.293920715
